Data,Program,Threads,Time(ms),Speedup
test_8k,Sequential,1,0.12,1
test_8k,Brugnano,1,0.22,0.55
test_8k,Brugnano,2,0.97,0.12
test_8k,Brugnano,4,1.44,0.08
test_8k,Brugnano,8,1.97,0.06
test_8k,Brugnano,10,2.03,0.06
test_8k,Brugnano,16,2.34,0.05
test_8k,Brugnano,20,2.41,0.05
test_8k,RecursiveDoubling,1,0.35,0.34
test_8k,RecursiveDoubling,2,1.28,0.09
test_8k,RecursiveDoubling,4,2.21,0.05
test_8k,RecursiveDoubling,8,2.35,0.05
test_8k,RecursiveDoubling,10,2.56,0.05
test_8k,RecursiveDoubling,16,3.32,0.04
test_8k,RecursiveDoubling,20,3.53,0.03
test_16k,Sequential,1,0.22,1
test_16k,Brugnano,1,0.47,0.47
test_16k,Brugnano,2,1.21,0.18
test_16k,Brugnano,4,1.73,0.13
test_16k,Brugnano,8,2.13,0.1
test_16k,Brugnano,10,1.9,0.12
test_16k,Brugnano,16,2.52,0.09
test_16k,Brugnano,20,2.92,0.08
test_16k,RecursiveDoubling,1,0.67,0.33
test_16k,RecursiveDoubling,2,2.14,0.1
test_16k,RecursiveDoubling,4,2.34,0.09
test_16k,RecursiveDoubling,8,2.42,0.09
test_16k,RecursiveDoubling,10,3.04,0.07
test_16k,RecursiveDoubling,16,4.03,0.05
test_16k,RecursiveDoubling,20,3.91,0.06
test_128k,Sequential,1,1.48,1
test_128k,Brugnano,1,2.24,0.66
test_128k,Brugnano,2,3.11,0.47
test_128k,Brugnano,4,2.57,0.57
test_128k,Brugnano,8,3.31,0.45
test_128k,Brugnano,10,3.24,0.46
test_128k,Brugnano,16,3.51,0.42
test_128k,Brugnano,20,4.44,0.33
test_128k,RecursiveDoubling,1,4.04,0.37
test_128k,RecursiveDoubling,2,3.56,0.41
test_128k,RecursiveDoubling,4,4.38,0.34
test_128k,RecursiveDoubling,8,4.5,0.33
test_128k,RecursiveDoubling,10,5.09,0.29
test_128k,RecursiveDoubling,16,4.74,0.31
test_128k,RecursiveDoubling,20,5.5,0.27
test_1024k,Sequential,1,10.8,1
test_1024k,Brugnano,1,18.27,0.59
test_1024k,Brugnano,2,12.07,0.89
test_1024k,Brugnano,4,9.43,1.14
test_1024k,Brugnano,8,7.77,1.39
test_1024k,Brugnano,10,8.67,1.25
test_1024k,Brugnano,16,9.12,1.18
test_1024k,Brugnano,20,10.48,1.03
test_1024k,RecursiveDoubling,1,31.12,0.35
test_1024k,RecursiveDoubling,2,21.68,0.5
test_1024k,RecursiveDoubling,4,17.4,0.62
test_1024k,RecursiveDoubling,8,16.61,0.65
test_1024k,RecursiveDoubling,10,16.99,0.64
test_1024k,RecursiveDoubling,16,16.04,0.67
test_1024k,RecursiveDoubling,20,16.31,0.66
test_4M,Sequential,1,41.67,1
test_4M,Brugnano,1,70.8,0.59
test_4M,Brugnano,2,40.81,1.02
test_4M,Brugnano,4,27.24,1.53
test_4M,Brugnano,8,24.86,1.68
test_4M,Brugnano,10,26.76,1.56
test_4M,Brugnano,16,26.55,1.57
test_4M,Brugnano,20,26.76,1.56
test_4M,RecursiveDoubling,1,121.42,0.34
test_4M,RecursiveDoubling,2,92.3,0.45
test_4M,RecursiveDoubling,4,58.43,0.71
test_4M,RecursiveDoubling,8,52.58,0.79
test_4M,RecursiveDoubling,10,50.98,0.82
test_4M,RecursiveDoubling,16,48.93,0.85
test_4M,RecursiveDoubling,20,47.62,0.88
