Data,Size,Program,Threads,Time(ms),Speedup
8k,8192,Sequential,1,0.13,1
8k,8192,Brugnano,1,0.24,0.53
8k,8192,Brugnano,2,0.71,0.18
8k,8192,Brugnano,4,0.97,0.13
8k,8192,Brugnano,8,1.26,0.1
8k,8192,Brugnano,10,1.32,0.1
8k,8192,Brugnano,16,2.41,0.05
8k,8192,Brugnano,20,2.36,0.05
8k,8192,RecursiveDoubling,1,0.26,0.49
8k,8192,RecursiveDoubling,2,0.84,0.15
8k,8192,RecursiveDoubling,4,1.03,0.12
8k,8192,RecursiveDoubling,8,1.69,0.08
8k,8192,RecursiveDoubling,10,1.85,0.07
8k,8192,RecursiveDoubling,16,3.06,0.04
8k,8192,RecursiveDoubling,20,3.08,0.04
16k,16384,Sequential,1,0.22,1
16k,16384,Brugnano,1,0.4,0.56
16k,16384,Brugnano,2,0.98,0.23
16k,16384,Brugnano,4,1.09,0.21
16k,16384,Brugnano,8,2.03,0.11
16k,16384,Brugnano,10,1.54,0.14
16k,16384,Brugnano,16,3,0.07
16k,16384,Brugnano,20,2.4,0.09
16k,16384,RecursiveDoubling,1,0.48,0.46
16k,16384,RecursiveDoubling,2,1.35,0.17
16k,16384,RecursiveDoubling,4,1.3,0.17
16k,16384,RecursiveDoubling,8,1.85,0.12
16k,16384,RecursiveDoubling,10,2.09,0.11
16k,16384,RecursiveDoubling,16,2.84,0.08
16k,16384,RecursiveDoubling,20,3.08,0.07
128k,131072,Sequential,1,1.39,1
128k,131072,Brugnano,1,2.2,0.63
128k,131072,Brugnano,2,2.7,0.52
128k,131072,Brugnano,4,2.41,0.58
128k,131072,Brugnano,8,2.76,0.5
128k,131072,Brugnano,10,3.22,0.43
128k,131072,Brugnano,16,3.87,0.36
128k,131072,Brugnano,20,4.31,0.32
128k,131072,RecursiveDoubling,1,3.23,0.43
128k,131072,RecursiveDoubling,2,2.61,0.53
128k,131072,RecursiveDoubling,4,2.71,0.51
128k,131072,RecursiveDoubling,8,3.12,0.45
128k,131072,RecursiveDoubling,10,2.64,0.53
128k,131072,RecursiveDoubling,16,4.04,0.34
128k,131072,RecursiveDoubling,20,5.65,0.25
1M,1048576,Sequential,1,10.84,1
1M,1048576,Brugnano,1,18.36,0.59
1M,1048576,Brugnano,2,11.33,0.96
1M,1048576,Brugnano,4,9.01,1.2
1M,1048576,Brugnano,8,9.01,1.2
1M,1048576,Brugnano,10,9.6,1.13
1M,1048576,Brugnano,16,9.9,1.1
1M,1048576,Brugnano,20,10.66,1.02
1M,1048576,RecursiveDoubling,1,26.03,0.42
1M,1048576,RecursiveDoubling,2,14.95,0.72
1M,1048576,RecursiveDoubling,4,12.08,0.9
1M,1048576,RecursiveDoubling,8,9.68,1.12
1M,1048576,RecursiveDoubling,10,8.75,1.24
1M,1048576,RecursiveDoubling,16,8.38,1.29
1M,1048576,RecursiveDoubling,20,7.84,1.38
4M,4194304,Sequential,1,42.23,1
4M,4194304,Brugnano,1,72.8,0.58
4M,4194304,Brugnano,2,40.66,1.04
4M,4194304,Brugnano,4,27.79,1.52
4M,4194304,Brugnano,8,26.35,1.6
4M,4194304,Brugnano,10,24.89,1.7
4M,4194304,Brugnano,16,25.7,1.64
4M,4194304,Brugnano,20,26.44,1.6
4M,4194304,RecursiveDoubling,1,98.62,0.43
4M,4194304,RecursiveDoubling,2,54.82,0.77
4M,4194304,RecursiveDoubling,4,35.03,1.21
4M,4194304,RecursiveDoubling,8,28.32,1.49
4M,4194304,RecursiveDoubling,10,25.29,1.67
4M,4194304,RecursiveDoubling,16,22.06,1.91
4M,4194304,RecursiveDoubling,20,21.8,1.94
